Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-12T16:26:16.831Z,,,Included,auto,No,,,,,,Free
2026-07-12T16:26:25.828Z,,,Included,auto,No,63495,6,207288,3702,274491,Included
2026-07-12T16:29:25.164Z,,,Included,auto,No,,,,,,Free
2026-07-12T16:29:46.909Z,,,Included,auto,No,16949,8,391411,5025,413393,Included
2026-07-12T16:30:30.115Z,,,Included,auto,No,0,59819,64522,2032,126373,Included
2026-07-12T16:30:32.289Z,,,Included,auto,No,13782,4,64556,1162,79504,Included
2026-07-12T16:30:59.272Z,,,Included,auto,No,0,1542,126348,3225,131115,Included
2026-07-12T16:31:19.135Z,,,Included,auto,No,17653,18,444716,3099,465486,Included
2026-07-12T16:31:35.631Z,,,Included,auto,No,0,8140,200025,7959,216124,Included
2026-07-12T16:32:42.697Z,,,Included,auto,No,0,4558,522576,2583,529717,Included
2026-07-12T16:33:36.820Z,,,Included,auto,No,5505,6,181147,3199,189857,Included
2026-07-12T16:36:33.701Z,,,Included,auto,No,99669,4,154236,4627,258536,Included
2026-07-12T16:37:01.378Z,,,Included,auto,No,,,,,,Free
2026-07-12T16:37:21.096Z,,,Included,auto,No,0,8381,238834,4747,251962,Included
2026-07-12T16:38:59.266Z,,,Included,auto,No,0,735,85780,571,87086,Included
2026-07-12T16:42:40.542Z,,,Included,auto,No,125450,24,1657938,12049,1795461,Included
2026-07-12T16:48:08.019Z,,,Included,auto,No,0,85915,9230,757,95902,Included
2026-07-12T16:49:40.484Z,,,Included,auto,No,0,39741,574808,4574,619123,Included
2026-07-12T16:54:28.819Z,,,Included,auto,No,0,10633,1183715,5768,1200116,Included
2026-07-12T16:55:47.884Z,,,Included,auto,No,0,831,137942,307,139080,Included
2026-07-12T16:59:06.861Z,,,Included,auto,No,0,140128,139245,241,279614,Included
2026-07-12T17:03:28.024Z,,,Included,auto,No,191878,2,28051,323,220254,Included
2026-07-12T17:04:29.964Z,,,Included,auto,No,,,,,,Free
2026-07-12T17:04:50.043Z,,,Included,auto,No,,,,,,Free
2026-07-12T17:05:36.908Z,,,Included,auto,No,79929,34,1013870,11126,1104959,Included
2026-07-12T17:14:15.993Z,,,Included,auto,No,52950,2,28051,148,81151,Included
2026-07-12T17:20:25.985Z,,,Included,auto,No,52950,2,28051,158,81161,Included
2026-07-12T17:20:49.178Z,,,Included,auto,No,788,2,80213,153,81156,Included
2026-07-12T17:21:10.675Z,,,Included,auto,No,6578,8,332731,2359,341676,Included
2026-07-12T17:24:25.841Z,,,Included,auto,No,0,46363,10,330,46703,Included
2026-07-12T17:27:08.035Z,,,Included,auto,No,54834,6,190973,991,246804,Included
2026-07-12T17:29:33.690Z,,,Included,auto,No,0,2076,46372,259,48707,Included
2026-07-12T17:31:35.892Z,,,Included,auto,No,12670,10,188616,627,201923,Included
2026-07-12T17:37:32.530Z,,,Included,auto,No,0,28670,260096,2451,291217,Included
2026-07-12T17:38:34.989Z,,,Included,auto,No,0,36959,104323,821,142103,Included
2026-07-12T17:40:51.627Z,,,Included,auto,No,87913,12,479224,9482,576631,Included
2026-07-12T17:41:58.220Z,,,Included,auto,No,0,71643,68992,438,141073,Included
2026-07-12T17:43:05.888Z,,,Included,auto,No,118141,16,985780,18672,1122609,Included
2026-07-12T17:50:55.239Z,,,Included,auto,No,1867,2,146192,1910,149971,Included
2026-07-12T17:52:26.465Z,,,Included,auto,No,2532,2,148059,1238,151831,Included
2026-07-12T17:53:34.607Z,,,Included,auto,No,1855,2,150591,1827,154275,Included
2026-07-12T17:55:22.098Z,,,Included,auto,No,2433,2,152446,1064,155945,Included
2026-07-12T17:55:49.616Z,,,Included,auto,No,0,2,154879,2342,157223,Included
2026-07-12T17:59:55.068Z,,,Included,auto,No,3097,2,154879,373,158351,Included
2026-07-12T18:00:14.600Z,,,Included,auto,No,8037,10,808031,1291,817369,Included
2026-07-12T18:04:06.945Z,,,Included,auto,No,817,2,166013,69,166901,Included
2026-07-12T18:04:26.802Z,,,Included,auto,No,5009,4,332864,532,338409,Included
2026-07-12T18:06:35.226Z,,,Included,auto,No,5558,6,516280,5270,527114,Included
2026-07-12T18:09:31.720Z,,,Included,auto,No,6497,12,1084148,2540,1093197,Included
2026-07-12T18:10:44.222Z,,,Included,auto,No,,,,,,Free
2026-07-12T18:11:22.728Z,,,Included,auto,No,49412,4,44898,878,95192,Included
2026-07-12T18:12:34.549Z,,,Included,auto,No,27024,4,78814,554,106396,Included
2026-07-12T18:16:12.062Z,,,Included,auto,No,20919,14,452602,3116,476651,Included
2026-07-12T18:18:44.674Z,,,Included,auto,No,9247,4,152597,1027,162875,Included
2026-07-12T18:19:42.999Z,,,Included,auto,No,584,2,75994,1133,77713,Included
2026-07-12T18:20:03.021Z,,,Included,auto,No,8958,4,152572,763,162297,Included
2026-07-12T18:21:44.315Z,,,Included,composer-2.5-fast,No,0,49530,437263,8044,494837,Included
2026-07-12T18:23:43.921Z,,,Included,composer-2.5-fast,No,0,1,59242,829,60072,Included
2026-07-12T18:23:54.812Z,,,Included,composer-2.5-fast,No,0,984,59242,292,60518,Included
2026-07-12T18:26:02.436Z,,,Included,composer-2.5-fast,No,0,5285,313552,1143,319980,Included
2026-07-12T18:32:29.188Z,,,Included,composer-2.5-fast,No,0,6616,203491,613,210720,Included
2026-07-12T18:34:59.137Z,,,Included,composer-2.5-fast,No,0,51549,85248,867,137664,Included
2026-07-12T18:35:19.910Z,,,Included,composer-2.5-fast,No,0,35724,107072,3161,145957,Included
2026-07-12T18:37:12.070Z,,,Included,composer-2.5-fast,No,0,13124,109184,481,122789,Included
2026-07-12T18:41:01.308Z,,,Included,composer-2.5-fast,No,0,48794,276393,7399,332586,Included
2026-07-12T18:45:57.116Z,,,Included,composer-2.5-fast,No,0,49065,677084,11264,737413,Included
2026-07-12T18:54:03.785Z,,,Included,composer-2.5-fast,No,0,134842,550111,4034,688987,Included
2026-07-12T18:54:16.347Z,,,Included,composer-2.5-fast,No,0,5982,118997,479,125458,Included
2026-07-12T18:54:32.488Z,,,Included,composer-2.5-fast,No,0,55460,74471,468,130399,Included
2026-07-12T18:55:55.806Z,,,Included,composer-2.5-fast,No,0,62742,1585932,10968,1659642,Included
2026-07-12T19:00:02.297Z,,,Included,composer-2.5-fast,No,0,43250,347783,2945,393978,Included
2026-07-12T19:02:19.803Z,,,Included,composer-2.5-fast,No,0,834,47913,337,49084,Included
2026-07-12T19:06:11.867Z,,,Included,composer-2.5-fast,No,0,78532,1106396,5935,1190863,Included
2026-07-12T19:08:28.083Z,,,Included,composer-2.5-fast,No,0,17479,654338,7634,679451,Included
2026-07-12T19:11:57.130Z,,,Included,composer-2.5-fast,No,0,484,101866,180,102530,Included
2026-07-12T19:13:10.718Z,,,Included,composer-2.5-fast,No,0,19816,1554352,3248,1577416,Included
2026-07-12T19:15:04.612Z,,,Included,composer-2.5-fast,No,0,482,122151,199,122832,Included
2026-07-12T19:15:42.515Z,,,Included,composer-2.5-fast,No,0,5889,370808,1100,377797,Included
2026-07-12T19:18:37.048Z,,,Included,composer-2.5-fast,No,0,33496,180468,4435,218399,Included
2026-07-12T19:19:26.149Z,,,Included,composer-2.5-fast,No,0,136083,1008512,6942,1151537,Included
2026-07-12T19:23:00.933Z,,,Included,composer-2.5-fast,No,0,47546,907386,3078,958010,Included
2026-07-12T19:25:18.601Z,,,Included,composer-2.5-fast,No,0,9367,939559,4878,953804,Included
2026-07-12T19:27:52.842Z,,,Included,composer-2.5-fast,No,0,700,137878,993,139571,Included
